119,120,169
108,144,180
153,104,185
144,130,194
133,156,205
120,182,218
105,208,233
180,112,212
171,140,221
160,168,232
147,196,245
132,224,260
115,252,277
209,120,241
200,150,250
189,180,261
176,210,274
161,240,289
144,270,306
125,300,325
104,330,346
240,128,272
231,160,281
220,192,292
207,224,305
192,256,320
175,288,337
156,320,356
135,352,377
112,384,400
280,102,298
273,136,305
264,170,314
253,204,325
240,238,338
225,272,353
208,306,370
189,340,389
168,374,410
145,408,433
120,442,458
315,108,333
308,144,340
299,180,349
288,216,360
275,252,373
260,288,388
243,324,405
224,360,424
203,396,445
180,432,468
155,468,493
128,504,520
352,114,370
345,152,377
336,190,386
325,228,397
312,266,410
297,304,425
280,342,442
261,380,461
240,418,482
217,456,505
192,494,530
162,532,557
136,570,586
105,608,617
391,120,409
384,160,416
375,200,425
364,240,436
351,280,449
336,320,464
319,360,481
300,400,500
297,440,521
256,480,544
231,520,569
204,560,596
175,600,625
144,640,656
111,680,689
432,126,450
425,168,457
416,210,466
405,252,477
392,294,490
377,336,505
360,378,522
341,420,541
320,462,562
297,504,585
272,546,610
245,588,637
216,630,666
185,672,697
152,714,730
117,756,765
475,132,493
468,176,500
